"","ag_300","open_300","forest_edge_300","shannonH_300","ag_1500","open_1500","forest_edge_1500","shannonH_1500"
"anc",34.9,6,2947,1.43,17.1,9,82447.9,1.64
"bra",49.6,20.2,3180,1.36,25.9,9.9,61520.1,1.66
"bri",37.3,2.9,2104.5,1.37,13.3,9.4,73432.5,1.69
"ced",52.1,15.1,2051.7,1.25,19.1,10.6,74375.6,1.66
"che",32.2,0,3796.4,1.14,22.9,2.6,59837.8,1.46
"lee",55.1,0,0,0.69,13.6,1.6,30690,1.06
"mapa",33.8,0,2673.3,1.1,4.9,7.6,69774.4,1.19
"non",63.6,1.6,2170.7,1,25.3,5.4,56051.8,1.51
"pea",75.5,1,2394.9,0.82,23.5,7.3,95805.2,1.48
"pen",57.5,0,2978.5,1.09,42.6,6.9,86678.7,1.44
"phi",59.7,11.2,2203.5,1.16,14.6,10,82912.9,1.4
"ray",29.3,12.4,1470.3,1.36,18,9.7,58920.7,1.68
"san",43.4,2.9,4400.4,1.33,37.5,7.5,71255.9,1.56
"sun",60.2,8,856.6,1.26,37.2,10.2,62042,1.63
"ter",55.3,9.5,2965,0.92,21.3,14.7,76312.8,1.44
"tra",42.1,1.6,1947.6,1.27,12.3,5.7,85133.6,1.28
"wat",63,3.1,3296.7,0.97,12,7.1,65078.6,1.45
